location,lats,longs
"Tirumangalam                                      ,TamilNadu                                         ",9.82,77.99
"Sivandipuram                                      ,TamilNadu                                         ",8.78,77.34
"Nagaiyampatti                                     ,TamilNadu                                         ",11.46,78.48
"Tiruttangal                                       ,TamilNadu                                         ",9.48,77.83
"Tiruppuvanam                                      ,TamilNadu                                         ",9.86,78.27
"Vellipalaiyam                                     ,TamilNadu                                         ",11.33,76.98
"Peravurani                                        ,TamilNadu                                         ",10.3,79.18
"Kannamanayakkanur                                 ,TamilNadu                                         ",10.55,77.27
"Ramanayakkanpalaiyam                              ,TamilNadu                                         ",11.63,78.56
"Kanniyakumari                                     ,TamilNadu                                         ",8.09,77.54
"Tiruttani                                         ,TamilNadu                                         ",13.18,79.63
"Tirumalaippatti                                   ,TamilNadu                                         ",11.34,78.22
"Dharmapuri                                        ,TamilNadu                                         ",12.13,78.16
"Chennai                                           ,TamilNadu                                         ",13.08,80.28
"Tiruppachur                                       ,TamilNadu                                         ",13.14,79.88
"Maduraivayal                                      ,TamilNadu                                         ",13.06,80.17
"Kannamangalam                                     ,TamilNadu                                         ",12.75,79.15
"Tirumalaiyampalaiyam                              ,TamilNadu                                         ",10.88,76.93
"Sivaganga                                         ,TamilNadu                                         ",9.84,78.48
"Cuddalore                                         ,TamilNadu                                         ",11.75,79.75
"Puduppattanam                                     ,TamilNadu                                         ",10.76,79.16
"Tiruvalam                                         ,TamilNadu                                         ",12.98,79.27
"Ramanathapuram                                    ,TamilNadu                                         ",9.36,78.84
"Karuvelampatti                                    ,TamilNadu                                         ",9.84,78.05
"Chengam                                           ,TamilNadu                                         ",12.31,78.79
"Tiruvengadam                                      ,TamilNadu                                         ",9.26,77.67
"Tiruvambalapuram                                  ,TamilNadu                                         ",8.25,77.78
"Vellavadanparappu                                 ,TamilNadu                                         ",11.19,77.84
"Tiruvadi                                          ,TamilNadu                                         ",10.88,79.1
"Tirumuruganpundi                                  ,TamilNadu                                         ",11.16,77.31
"Tiruvaduturai                                     ,TamilNadu                                         ",11.04,79.52
"Ramapattanam                                      ,TamilNadu                                         ",10.71,76.92
"Krishnarayapuram                                  ,TamilNadu                                         ",10.96,78.28
"Tiruchengodu                                      ,TamilNadu                                         ",11.38,77.89
"Kannanendal                                       ,TamilNadu                                         ",9.96,78.14
"Tiruvankod                                        ,TamilNadu                                         ",8.25,77.3
"Vellore                                           ,TamilNadu                                         ",12.92,79.13
"Sivagiri                                          ,TamilNadu                                         ",10.23,77.62
"Karukkalvadi                                      ,TamilNadu                                         ",11.67,78.01
"Tiruvennanallur                                   ,TamilNadu                                         ",11.86,79.37
"Vellarivalli                                      ,TamilNadu                                         ",11.6,77.79
"Namakkal                                          ,TamilNadu                                         ",11.22,78.17
"Tiruvallur                                        ,TamilNadu                                         ",13.12,79.91
"Tirupur                                           ,TamilNadu                                         ",11.11,77.34
"Coimbatore                                        ,TamilNadu                                         ",11.02,76.96
"Tiruvalanjuli                                     ,TamilNadu                                         ",10.94,79.33
"Kannampalaiyam                                    ,TamilNadu                                         ",11.0,77.1
"Kannivadi                                         ,TamilNadu                                         ",10.38,77.83
"Tirukkoyilur                                      ,TamilNadu                                         ",11.95,79.2
"Karumattampatti                                   ,TamilNadu                                         ",11.11,77.18
"Tiruchchuli                                       ,TamilNadu                                         ",9.53,78.2
"Erode                                             ,TamilNadu                                         ",11.34,77.72
"Tiruppalai                                        ,TamilNadu                                         ",9.98,78.14
"Vellalapuram                                      ,TamilNadu                                         ",11.65,77.94
"Tirukkalikkunram                                  ,TamilNadu                                         ",12.61,80.06
"Vellakkinar                                       ,TamilNadu                                         ",11.07,76.96
"Vellanur                                          ,TamilNadu                                         ",13.15,80.1
"Tirukkattuppalli                                  ,TamilNadu                                         ",10.85,78.95
"Madukkarai                                        ,TamilNadu                                         ",10.91,76.96
"Karur                                             ,TamilNadu                                         ",10.96,78.08
"Dharapuram                                        ,TamilNadu                                         ",10.73,77.52
"Sivalarkulam                                      ,TamilNadu                                         ",8.87,77.53
"Tiruvasaladi                                      ,TamilNadu                                         ",11.4,79.77
"Pudukkottai                                       ,TamilNadu                                         ",10.5,78.43
"Tirumayam                                         ,TamilNadu                                         ",10.24,78.75
"Tiruverumbur                                      ,TamilNadu                                         ",10.79,78.77
"Tirutturaippundi                                  ,TamilNadu                                         ",10.53,79.65
"Vellalur                                          ,TamilNadu                                         ",10.98,77.03
"Puduvayal                                         ,TamilNadu                                         ",10.1,78.85
"Vellodu                                           ,TamilNadu                                         ",10.3,77.96
"Vellar                                            ,TamilNadu                                         ",11.89,77.97
"Tiruchendur                                       ,TamilNadu                                         ",8.49,78.12
"Dindigul                                          ,TamilNadu                                         ",10.35,77.95
"Tirumangalakkudi                                  ,TamilNadu                                         ",11.02,79.47
"Chennampatti                                      ,TamilNadu                                         ",11.7,77.68
"Kannankurichchi                                   ,TamilNadu                                         ",11.7,78.18
"Tiruvadanai                                       ,TamilNadu                                         ",9.78,78.92
"Sivamalai                                         ,TamilNadu                                         ",11.03,77.54
"Dharmapuram                                       ,TamilNadu                                         ",8.38,77.13
"Sitarganj                                         ,Uttarakhand                                       ",28.93,79.7
"Jalalpur                                          ,Uttarakhand                                       ",28.57,77.32
"Meerut                                            ,Uttarakhand                                       ",28.98,77.71
"Shahganj                                          ,Uttarakhand                                       ",26.06,82.68
"Tehri                                             ,Uttarakhand                                       ",30.38,78.48
"Mathura                                           ,Uttarakhand                                       ",27.49,77.67
"Bahraigh                                          ,Uttarakhand                                       ",27.58,81.59
"Varanasi                                          ,Uttarakhand                                       ",25.32,83.01
"Ghazipur                                          ,Uttarakhand                                       ",25.58,83.57
"Fatehpur Sikri                                    ,Uttarakhand                                       ",27.09,77.66
"Unnao                                             ,Uttarakhand                                       ",26.55,80.49
"Moradabad                                         ,Uttarakhand                                       ",28.84,78.78
"Saharanpur                                        ,Uttarakhand                                       ",29.96,77.55
"Dehra Dun                                         ,Uttarakhand                                       ",30.35,78.03
"Hathras                                           ,Uttarakhand                                       ",27.36,78.03
"Naini Tal                                         ,Uttarakhand                                       ",29.39,79.45
"Sahaswan                                          ,Uttarakhand                                       ",28.07,78.75
"Etawah                                            ,Uttarakhand                                       ",26.77,79.03
"Sahawar                                           ,Uttarakhand                                       ",27.8,78.85
"Rae Bareli                                        ,Uttarakhand                                       ",26.22,81.24
"Jhansi                                            ,Uttarakhand                                       ",25.45,78.57
"Bageshwar                                         ,Uttarakhand                                       ",29.84,79.77
"Mau                                               ,Uttarakhand                                       ",25.94,83.56
"Agra                                              ,Uttarakhand                                       ",27.18,78.02
"Sultanpur                                         ,Uttarakhand                                       ",29.16,79.06
"Mirzapur                                          ,Uttarakhand                                       ",25.15,82.57
"Fatehpur                                          ,Uttarakhand                                       ",25.93,80.8
"Ballia                                            ,Uttarakhand                                       ",25.76,84.15
"Bareilly                                          ,Uttarakhand                                       ",28.36,79.42
"Sahaspur                                          ,Uttarakhand                                       ",29.12,78.62
"Farrukhabad                                       ,Uttarakhand                                       ",27.39,79.58
"Aligarh                                           ,Uttarakhand                                       ",27.88,78.08
"Almora                                            ,Uttarakhand                                       ",29.6,79.66
"Ghaziabad                                         ,Uttarakhand                                       ",28.67,77.42
"Rampur                                            ,Uttarakhand                                       ",28.8,79.0
"Muzaffarnagar                                     ,Uttarakhand                                       ",29.48,77.7
"Etah                                              ,Uttarakhand                                       ",27.63,78.67
"Uttarkashi                                        ,Uttarakhand                                       ",30.73,78.45
"Pilibhit                                          ,Uttarakhand                                       ",28.63,79.77
"Jaunpur                                           ,Uttarakhand                                       ",25.73,82.68
"Sitalpur                                          ,Uttarakhand                                       ",27.63,80.75
"Gorakhpur                                         ,Uttarakhand                                       ",26.76,83.4
"Shahjanpur                                        ,Uttarakhand                                       ",27.88,79.91
"Pithoragarh                                       ,Uttarakhand                                       ",29.58,80.22
"Budaun                                            ,Uttarakhand                                       ",28.05,79.12
"Rudraprayag                                       ,Uttarakhand                                       ",30.28,78.98
"Bulandshahr                                       ,Uttarakhand                                       ",28.41,77.85
"Lucknow                                           ,Uttarakhand                                       ",26.85,80.95
"Ghaziabad                                         ,UttarPradesh                                      ",28.67,77.42
"Uttarkashi                                        ,UttarPradesh                                      ",30.73,78.45
"Jaunpur                                           ,UttarPradesh                                      ",25.73,82.68
"Sitarganj                                         ,UttarPradesh                                      ",28.93,79.7
"Sahaspur                                          ,UttarPradesh                                      ",29.12,78.62
"Mau                                               ,UttarPradesh                                      ",25.94,83.56
"Moradabad                                         ,UttarPradesh                                      ",28.84,78.78
"Meerut                                            ,UttarPradesh                                      ",28.98,77.71
"Jhansi                                            ,UttarPradesh                                      ",25.45,78.57
"Ballia                                            ,UttarPradesh                                      ",25.76,84.15
"Agra                                              ,UttarPradesh                                      ",27.18,78.02
"Hathras                                           ,UttarPradesh                                      ",27.36,78.03
"Unnao                                             ,UttarPradesh                                      ",26.55,80.49
"Muzaffarnagar                                     ,UttarPradesh                                      ",29.48,77.7
"Mathura                                           ,UttarPradesh                                      ",27.49,77.67
"Bageshwar                                         ,UttarPradesh                                      ",29.84,79.77
"Ghazipur                                          ,UttarPradesh                                      ",25.58,83.57
"Tehri                                             ,UttarPradesh                                      ",30.38,78.48
"Saharanpur                                        ,UttarPradesh                                      ",29.96,77.55
"Bulandshahr                                       ,UttarPradesh                                      ",28.41,77.85
"Rudraprayag                                       ,UttarPradesh                                      ",30.28,78.98
"Gorakhpur                                         ,UttarPradesh                                      ",26.76,83.4
"Rae Bareli                                        ,UttarPradesh                                      ",26.22,81.24
"Fatehpur                                          ,UttarPradesh                                      ",25.93,80.8
"Fatehpur Sikri                                    ,UttarPradesh                                      ",27.09,77.66
"Pithoragarh                                       ,UttarPradesh                                      ",29.58,80.22
"Rampur                                            ,UttarPradesh                                      ",28.8,79.0
"Dehra Dun                                         ,UttarPradesh                                      ",30.35,78.03
"Almora                                            ,UttarPradesh                                      ",29.6,79.66
"Lucknow                                           ,UttarPradesh                                      ",26.85,80.95
"Varanasi                                          ,UttarPradesh                                      ",25.32,83.01
"Sitalpur                                          ,UttarPradesh                                      ",27.63,80.75
"Pilibhit                                          ,UttarPradesh                                      ",28.63,79.77
"Bareilly                                          ,UttarPradesh                                      ",28.36,79.42
"Etawah                                            ,UttarPradesh                                      ",26.77,79.03
"Jalalpur                                          ,UttarPradesh                                      ",28.57,77.32
"Sahaswan                                          ,UttarPradesh                                      ",28.07,78.75
"Bahraigh                                          ,UttarPradesh                                      ",27.58,81.59
"Aligarh                                           ,UttarPradesh                                      ",27.88,78.08
"Shahjanpur                                        ,UttarPradesh                                      ",27.88,79.91
"Budaun                                            ,UttarPradesh                                      ",28.05,79.12
"Mirzapur                                          ,UttarPradesh                                      ",25.15,82.57
"Farrukhabad                                       ,UttarPradesh                                      ",27.39,79.58
"Sahawar                                           ,UttarPradesh                                      ",27.8,78.85
"Etah                                              ,UttarPradesh                                      ",27.63,78.67
"Shahganj                                          ,UttarPradesh                                      ",26.06,82.68
"Naini Tal                                         ,UttarPradesh                                      ",29.39,79.45
"Sultanpur                                         ,UttarPradesh                                      ",29.16,79.06
"Maldah                                            ,WestBengal                                        ",25.01,88.14
"Jalpaiguri                                        ,WestBengal                                        ",26.52,88.73
"Uttarpara                                         ,WestBengal                                        ",22.67,88.35
"Koch Bihar                                        ,WestBengal                                        ",26.32,89.45
"Darjeeling                                        ,WestBengal                                        ",27.04,88.26
"Bankura                                           ,WestBengal                                        ",23.25,87.07
"Kolkata                                           ,WestBengal                                        ",22.57,88.37
"Puruliya                                          ,WestBengal                                        ",23.33,86.37
"Haora                                             ,WestBengal                                        ",22.58,88.33
"Barddhaman                                        ,WestBengal                                        ",23.23,87.87
"Murshidabad                                       ,WestBengal                                        ",24.18,88.27
"Hugli                                             ,WestBengal                                        ",22.91,88.4
"Bankra                                            ,WestBengal                                        ",22.63,88.3
